pivot_time,pivot_price,pivot_type,structure,leg_return_pct,leg_bars,leg_duration_sec
2024-10-01 06:31:00+00:00,67.62,high,LH,0.2223210315696056,1,60.0
2024-10-01 06:32:00+00:00,67.61,low,HL,-0.014788524105302514,1,60.0
2024-10-01 06:35:00+00:00,67.89,high,HH,0.4141399201301521,3,180.0
2024-10-01 06:36:00+00:00,67.8,low,HL,-0.1325673884224554,1,60.0
2024-10-01 06:38:00+00:00,67.88,high,LH,0.11799410029498247,2,120.0
2024-10-01 06:39:00+00:00,67.8,low,LL,-0.11785503830288313,1,60.0
2024-10-01 06:40:00+00:00,67.9,high,HH,0.1474926253687503,1,60.0
2024-10-01 06:41:00+00:00,67.8,low,LL,-0.14727540500737435,1,60.0
2024-10-01 06:42:00+00:00,67.87,high,LH,0.10324483775812077,1,60.0
2024-10-01 06:46:00+00:00,67.73,low,LL,-0.20627670546633503,4,240.0
2024-10-01 06:47:00+00:00,67.79,high,LH,0.08858703676362101,1,60.0
2024-10-01 06:48:00+00:00,67.68,low,LL,-0.16226582091753983,1,60.0
2024-10-01 06:51:00+00:00,67.78,high,LH,0.14775413711582974,3,180.0
2024-10-01 06:53:00+00:00,67.7,low,HL,-0.11802891708467822,2,120.0
2024-10-01 06:55:00+00:00,67.84,high,HH,0.20679468242246202,2,120.0
2024-10-01 06:56:00+00:00,67.77,low,HL,-0.10318396226416393,1,60.0
2024-10-01 06:57:00+00:00,67.89,high,HH,0.17706949977867037,1,60.0
2024-10-01 06:58:00+00:00,67.8,low,HL,-0.1325673884224554,1,60.0
2024-10-01 07:09:00+00:00,67.99,high,HH,0.2802359882005945,11,660.0
2024-10-01 07:11:00+00:00,67.83,low,HL,-0.23532872481246692,2,120.0
2024-10-01 07:12:00+00:00,67.83,high,LH,0.0,1,60.0
2024-10-01 07:16:00+00:00,67.71,low,LL,-0.17691287041132764,4,240.0
2024-10-01 07:17:00+00:00,67.73,high,LH,0.029537734455775677,1,60.0
2024-10-01 07:18:00+00:00,67.58,low,LL,-0.22146759190906362,1,60.0
2024-10-01 07:24:00+00:00,67.76,high,HH,0.26635099141758545,6,360.0
2024-10-01 07:26:00+00:00,67.63,low,HL,-0.19185360094452486,2,120.0
2024-10-01 07:33:00+00:00,67.74,high,LH,0.16264971166641828,7,420.0
2024-10-01 07:38:00+00:00,67.62,low,LL,-0.177147918511944,5,300.0
2024-10-01 07:39:00+00:00,67.68,high,LH,0.08873114463177068,1,60.0
2024-10-01 07:45:00+00:00,67.54,low,LL,-0.2068557919621794,6,360.0
2024-10-01 07:48:00+00:00,67.68,high,LH,0.20728457210541507,3,180.0
2024-10-01 07:50:00+00:00,67.59,low,HL,-0.13297872340426453,2,120.0
2024-10-01 07:53:00+00:00,67.71,high,HH,0.1775410563692681,3,180.0
2024-10-01 07:56:00+00:00,67.58,low,LL,-0.1919952739624753,3,180.0
2024-10-01 07:59:00+00:00,67.64,high,LH,0.08878366380586922,3,180.0
2024-10-01 08:00:00+00:00,67.56,low,LL,-0.11827321111768097,1,60.0
2024-10-01 08:01:00+00:00,67.68,high,HH,0.1776198934280604,1,60.0
