timeframe,leg_id,start_ts,end_ts,bin_size,lvn_price,lvn_volume,lvn_raw_volume,pct_of_max,depth_pct,pct_of_total,within_value_area,distance_to_poc,poc_price,value_area_low,value_area_high,lvn_rank,leg_pattern,leg_direction,leg_return_pct,leg_bars,leg_duration_sec
minute,5623,2024-10-15 20:29:00+00:00,2024-10-15 20:42:00+00:00,0.0015000000000000568,71.00274999999938,2.9999999999856977,2.9999999999856977,0.3833865814696527,0.6166134185303473,0.008982035928123439,True,0.02099999999990132,71.02374999999928,70.96374999999956,71.0402499999992,1,LH->LL,downtrend,-0.2533427163968982,13,780.0
minute,5628,2024-10-15 21:02:00+00:00,2024-10-15 21:17:00+00:00,0.0015000000000000568,70.86774999999987,4.937499999976159,4.937499999976159,0.35248973764053876,0.6475102623594613,0.00889405936874438,True,0.014999999999929514,70.8827499999998,70.86774999999987,70.92924999999958,1,HL->HH,uptrend,0.1835121400338701,15,900.0
minute,5628,2024-10-15 21:02:00+00:00,2024-10-15 21:17:00+00:00,0.0015000000000000568,70.9037499999997,5.719999999972759,5.719999999972759,0.40835266821347144,0.5916473317865285,0.010303598904146071,True,0.02099999999990132,70.8827499999998,70.86774999999987,70.92924999999958,2,HL->HH,uptrend,0.1835121400338701,15,900.0
minute,5651,2024-10-16 01:50:00+00:00,2024-10-16 02:02:00+00:00,0.0015000000000000568,70.83324999999961,2.024999999990514,2.024999999990514,0.296703296703371,0.7032967032966291,0.008363544582589477,True,0.02999999999985903,70.86324999999947,70.8137499999997,70.8782499999994,1,LH->LL,downtrend,-0.1974890675694784,11,720.0
minute,6245,2024-10-17 15:45:00+00:00,2024-10-17 16:11:00+00:00,0.000999999999999801,70.72750000000023,5.900000000029346,5.900000000029346,0.2938978829389374,0.7061021170610626,0.006490649064937732,True,0.034000000000162345,70.7615000000004,70.72450000000022,70.78050000000049,1,LH->LL,downtrend,-0.1835898884338327,26,1560.0
minute,6245,2024-10-17 15:45:00+00:00,2024-10-17 16:11:00+00:00,0.000999999999999801,70.75750000000038,8.52500000004118,8.52500000004118,0.4246575342464546,0.5753424657535454,0.009378437843828176,True,0.004000000000019099,70.7615000000004,70.72450000000022,70.78050000000049,2,LH->LL,downtrend,-0.1835898884338327,26,1560.0
minute,6259,2024-10-17 21:15:00+00:00,2024-10-17 21:33:00+00:00,0.000999999999999801,70.35750000000033,3.05238095239499,3.05238095239499,0.26893224250038744,0.7310677574996125,0.005985060690968467,True,0.014000000000066848,70.3715000000004,70.3505000000003,70.42750000000066,1,LH->LL,downtrend,-0.2271114265436469,18,1080.0
minute,6259,2024-10-17 21:15:00+00:00,2024-10-17 21:33:00+00:00,0.000999999999999801,70.38150000000044,3.533333333349757,3.533333333349757,0.3113069016151284,0.6886930983848716,0.006928104575193169,True,0.010000000000047748,70.3715000000004,70.3505000000003,70.42750000000066,2,LH->LL,downtrend,-0.2271114265436469,18,1080.0
minute,6263,2024-10-17 21:44:00+00:00,2024-10-17 21:59:00+00:00,0.0012500000000002843,70.23312499999996,3.434523809520436,3.434523809520436,0.4660931378489211,0.533906862151079,0.007531850459477105,True,0.049999999999954525,70.28312499999991,70.22187499999997,70.31062499999989,1,LH->LL,downtrend,-0.2274342572849974,15,900.0
minute,6364,2024-10-18 08:11:00+00:00,2024-10-18 08:21:00+00:00,0.0020000000000003127,70.1569999999997,9.049999999977494,9.049999999977494,0.30574324324321156,0.6942567567567884,0.005558968058968987,True,0.01799999999997226,70.17499999999967,70.12699999999978,70.23899999999952,1,HL->HH,uptrend,0.2998714836498495,10,600.0
